PROVINCIA;FECHA;CASOS
Buenos Aires;29/3/2020;1
Buenos Aires;29/3/2020;16
Buenos Aires;28/3/2020;8
Buenos Aires;27/3/2020;36
Buenos Aires;26/3/2020;27
Buenos Aires;25/3/2020;30
Buenos Aires;24/3/2020;28
Buenos Aires;23/3/2020;5
Buenos Aires;22/3/2020;8
Buenos Aires;21/3/2020;15
Buenos Aires;20/3/2020;9
Buenos Aires;19/3/2020;15
Buenos Aires;18/3/2020;6
Buenos Aires;17/3/2020;1
Buenos Aires;16/3/2020;1
Buenos Aires;15/3/2020;1
Buenos Aires;14/3/2020;1
Buenos Aires;13/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;11/3/2020;1
Buenos Aires;10/3/2020;1
Buenos Aires;8/3/2020;1
Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;29/3/2020;-12
Ciudad de Buenos Aires;29/3/2020;13
Ciudad de Buenos Aires;28/3/2020;18
Ciudad de Buenos Aires;27/3/2020;43
Ciudad de Buenos Aires;26/3/2020;30
Ciudad de Buenos Aires;25/3/2020;21
Ciudad de Buenos Aires;24/3/2020;30
Ciudad de Buenos Aires;23/3/2020;11
Ciudad de Buenos Aires;22/3/2020;11
Ciudad de Buenos Aires;21/3/2020;29
Ciudad de Buenos Aires;20/3/2020;9
Ciudad de Buenos Aires;19/3/2020;8
Ciudad de Buenos Aires;18/3/2020;10
Ciudad de Buenos Aires;17/3/2020;4
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;13/3/2020;1
Ciudad de Buenos Aires;13/3/2020;1
Ciudad de Buenos Aires;12/3/2020;1
Ciudad de Buenos Aires;12/3/2020;1
Ciudad de Buenos Aires;11/3/2020;1
Ciudad de Buenos Aires;10/3/2020;1
Ciudad de Buenos Aires;9/3/2020;1
Ciudad de Buenos Aires;8/3/2020;1
Ciudad de Buenos Aires;8/3/2020;1
Ciudad de Buenos Aires;7/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;5/3/2020;1
Ciudad de Buenos Aires;3/3/2020;1
Chaco;29/3/2020;2
Chaco;29/3/2020;4
Chaco;28/3/2020;5
Chaco;27/3/2020;3
Chaco;26/3/2020;3
Chaco;25/3/2020;12
Chaco;24/3/2020;9
Chaco;23/3/2020;4
Chaco;22/3/2020;7
Chaco;21/3/2020;5
Chaco;20/3/2020;1
Chaco;19/3/2020;2
Chaco;18/3/2020;1
Chaco;17/3/2020;1
Chaco;16/3/2020;1
Chaco;16/3/2020;1
Chaco;16/3/2020;1
Chaco;15/3/2020;1
Chaco;15/3/2020;1
Chaco;14/3/2020;1
Chaco;12/3/2020;1
Chaco;12/3/2020;1
Chaco;9/3/2020;1
Chaco;9/3/2020;1
Córdoba;29/3/2020;-5
Córdoba;29/3/2020;18
Córdoba;28/3/2020;1
Córdoba;27/3/2020;5
Córdoba;26/3/2020;4
Córdoba;25/3/2020;15
Córdoba;24/3/2020;7
Córdoba;23/3/2020;3
Córdoba;22/3/2020;8
Córdoba;21/3/2020;4
Córdoba;20/3/2020;5
Córdoba;19/3/2020;3
Córdoba;18/3/2020;1
Córdoba;17/3/2020;2
Córdoba;12/3/2020;1
Córdoba;6/3/2020;1
Corrientes;29/3/2020;1
Corrientes;28/3/2020;3
Corrientes;27/3/2020;2
Corrientes;21/3/2020;2
Corrientes;20/3/2020;1
Entre Ríos;27/3/2020;3
Entre Ríos;25/3/2020;3
Entre Ríos;20/3/2020;1
Entre Ríos;18/3/2020;1
Entre Ríos;17/3/2020;1
Entre Ríos;12/3/2020;1
Jujuy;26/3/2020;2
Jujuy;17/3/2020;1
La Pampa;29/3/2020;2
La Pampa;24/3/2020;1
La Rioja;29/3/2020;1
Mendoza;29/3/2020;1
Mendoza;28/3/2020;1
Mendoza;27/3/2020;1
Mendoza;26/3/2020;1
Mendoza;25/3/2020;1
Mendoza;21/3/2020;5
Misiones;29/3/2020;1
Misiones;27/3/2020;0
Misiones;22/3/2020;1
Neuquén;28/3/2020;2
Neuquén;27/3/2020;3
Neuquén;26/3/2020;3
Neuquén;25/3/2020;1
Neuquén;24/3/2020;1
Neuquén;20/3/2020;2
Río Negro;29/3/2020;1
Río Negro;27/3/2020;3
Río Negro;21/3/2020;1
Río Negro;19/3/2020;1
Río Negro;17/3/2020;1
Río Negro;9/3/2020;1
Salta;17/3/2020;1
San Juan;29/3/2020;1
San Luis;25/3/2020;3
San Luis;14/3/2020;1
San Luis;14/3/2020;1
San Luis;9/3/2020;1
Santa Cruz;26/3/2020;2
Santa Cruz;25/3/2020;5
Santa Cruz;24/3/2020;1
Santa Cruz;17/3/2020;1
Santa Fe;29/3/2020;14
Santa Fe;28/3/2020;13
Santa Fe;27/3/2020;9
Santa Fe;26/3/2020;12
Santa Fe;25/3/2020;22
Santa Fe;24/3/2020;3
Santa Fe;23/3/2020;13
Santa Fe;21/3/2020;2
Santa Fe;19/3/2020;1
Santa Fe;14/3/2020;1
Santiago del Estero;27/3/2020;1
Santiago del Estero;20/3/2020;1
Tierra del Fuego;29/3/2020;3
Tierra del Fuego;28/3/2020;4
Tierra del Fuego;26/3/2020;3
Tierra del Fuego;25/3/2020;1
Tierra del Fuego;24/3/2020;4
Tierra del Fuego;21/3/2020;3
Tierra del Fuego;20/3/2020;1
Tierra del Fuego;15/3/2020;1
Tierra del Fuego;15/3/2020;1
Tucumán;27/3/2020;6
Tucumán;25/3/2020;2
Tucumán;22/3/2020;5
Tucumán;21/3/2020;1
Tucumán;19/3/2020;1
Buenos Aires;30/3/2020;36
Ciudad de Buenos Aires;30/3/2020;34
Chaco;30/3/2020;12
Santa Fe;30/3/2020;21
Córdoba;30/3/2020;8
Tierra del Fuego;30/3/2020;11
Corrientes;30/3/2020;10
Entre Ríos;30/3/2020;3
Mendoza;30/3/2020;3
Neuquén;30/3/2020;8
